lib_id	norRNA_reads
19HUNSDH0955	5914055
19HUNSDH0956	3248770
19HUNSDH0959	2821238
19HUNSDH0957	4176810
19HUNSDH0960	2430670
19HUNSDH0958	4616131
19HUNSR0961	6948951
19HUNSR0964	5879005
19HUNSR0963	7035635
19HUNSR0962	9337471
19HUNSR0966	3159425
19HUNSR0965	6018526
19HUNSR0967	5419087
19HUNSR0968	5059124
19HUNSR0970	5246921
19HUNYW0935	3372350
19HUNSR0969	8077339
19HUNYW0934	5995726
19HUNYW0936	5868155
19HUNYW0939	7485164
19HUNYW0938	10188640
19HUNYW0942	2375910
19HUNYW0943	2106412
19HUNYW0940	12420997
19HUNYW0937	16543074
19HUNYW0941	6525398
19JHSKW1773	3099503
19JHSKW1774	3174523
19JHSKW1775	4133617
19JHSKW1776	3289089
19JHSKW1779	370990
19JHSKW1778	3240100
19JHSKW1777	3816659
19JHSKW1781	1693009
19JHSKW1783	682188
19JHSKW1780	2696069
19JHSKW1782	1462641
19JHSKW1787	1906085
19JHSKW1784	3711407
19JHSYW1757	1909308
19JHSKW1785	5420741
19JHSKW1786	5002841
19JHSYW1760	1687533
19JHSYW1761	1750962
19JHSYW1759	2958956
19JHSYW1758	4414111
19JHSYW1765	841801
19JHSYW1762	2423587
19JHSYW1766	1405300
19JHSYW1764	3234678
19JHSYW1763	3908195
19JHSYW1768	1565683
19JHSYW1767	3232055
19JHSYW1770	1559966
19JHSYW1769	2531907
19JHSYW1772	1606739
19JHSYW1771	2863271
19JHSYW2146	1908278
19JHSYW2147	1964627
19JHSYW2148	1824129
19JHSYW2149	2409106
19JHSYW2150	2049551
19JHSYW2151	1482560
19JHSYW2152	1990163
19JHSYW2153	2865105
19JHSYW2154	2271162
19JHSYW2155	2647063
19JHSYW2156	2107197
19JHSYW2145	14980503
19JHSYW2157	2846289
19JXAW0924	2434234
19JXAW0925	3876214
19JXAW0926	3003483
19JXAW0927	3196981
19JXAW0928	2629830
19JXAW0929	3904937
19JHSYW2144	30868442
19JXAW0930	4600657
19JXAW0931	3842395
19JXAW0932	3386139
19JXSDH0915	3397564
19JXAW0933	2548582
19JXSDH0914	4825265
19JXSDH0917	1936595
19JXSDH0919	1926258
19JXSDH0918	2442900
19JXSDH0916	3594887
19JXSDH0920	2955368
19JXSDH0922	2932271
19JXSDH0921	3872842
19JXSDH0923	4612979
19LCCDCKW1634	2720246
19LCCDCKW1635	3513286
19LCCDCKW1636	5504931
19LCCDCKW1637	5679178
19LCCDCKW1633	9568279
19LCCDCSR1639	2790197
19LCCDCKW1638	6162066
19LCFBCAW1644	4597367
19LCFBCAW1643	3042518
19LCFBCBM1645	4914583
19LCFBCAW1642	3290033
19LCFBCKW1640	2421575
19LCFBCKW1641	2330409
19LCFYBGKW1610	2912182
19LCFYBGKW1609	3404736
19LCFYBGKW1613	3079436
19LCFYBGKW1611	4981401
19LCFYBGKW1612	5692789
19LCHGMKW1603	4946523
19LCHGMSDH1607	1832755
19LCHGMKW1606	2184557
19LCHGMKW1604	5523773
19LCHGMKW1605	5410772
19LCHGMSDH1608	2172962
19LCLTCKW1614	63076
19LCLTCAW1631	2715420
19LCLTCAW1630	2635498
19LCLTCAW1632	2399566
19LCLTCKW1615	4781862
19LCLTCKW1617	1296984
19LCLTCKW1616	3357880
19LCLTCKW1620	1868926
19LCLTCKW1618	3894284
19LCLTCKW1621	2948358
19LCLTCKW1622	1473901
19LCLTCKW1619	4485756
19LCLTCKW1626	3548633
19LCLTCKW1624	4496924
19LCLTCKW1623	4597401
19LCLTCKW1625	8156256
19LCLTCKW1627	4535123
19LCLTCKW1628	4567010
19LCLTCYW1629	4769548
19LCMBCKW1647	2992612
19LCMBCKW1648	2271465
19LCMBCKW1646	4152675
19LCMBCAW1655	2591771
19LCMBCSDH1650	2193666
19LCMBCKW1649	2761800
19LCMBCSDH1652	2781845
19LCMBCSDH1651	3957615
19LCMBCSDH1654	2271839
19LCMBCSDH1653	2983935
19MHDMCLSR1669	1981110
19MHDMCLYW1656	2098752
19MHDMCLYW1657	1977712
19MHDMCLYW1658	3187580
19MHDMCLYW1661	1868426
19MHDMCLYW1659	3217454
19MHDMCLYW1664	1424931
19MHDMCLYW1662	1836863
19MHDMCLYW1663	1985161
19MHDMCLYW1660	4236476
19MHDMCLYW1666	2056668
19MHDMCLYW1665	2728122
19MHDMCLYW1667	3006360
